1, 976.1
2, 485.9
3, 324.7
4, 259.40000000000003
5, 284.7
6, 259.79999999999995
7, 264.79999999999995
8, 338.1
9, 260.40000000000003
10, 312.5
11, 355.7
12, 346.3
1, 913.3
2, 471.5
3, 372.5
4, 268.8
5, 269.4
6, 275.3
7, 279.4
8, 268.1
9, 273.1
10, 315.59999999999997
11, 350.7
12, 352.6
1, 893.8000000000001
2, 511.8
3, 327.90000000000003
4, 295.8
5, 375.7
6, 327.2
7, 274.6
8, 271.5
9, 294.4
10, 297.20000000000005
11, 368.20000000000005
12, 350.6
1, 965.5
2, 509.49999999999994
3, 354.2
4, 294.0
5, 303.8
6, 316.09999999999997
7, 294.4
8, 264.90000000000003
9, 275.9
10, 296.3
11, 317.0
12, 360.0
1, 903.4
2, 475.9
3, 368.59999999999997
4, 261.90000000000003
5, 279.3
6, 294.4
7, 277.3
8, 271.0
9, 276.8
10, 283.4
11, 332.6
12, 346.0
1, 914.6999999999999
2, 493.0
3, 346.9
4, 254.5
5, 283.2
6, 263.1
7, 278.2
8, 269.8
9, 265.7
10, 300.4
11, 335.7
12, 306.3
1, 979.7
2, 499.09999999999997
3, 345.1
4, 313.09999999999997
5, 276.5
6, 264.7
7, 298.70000000000005
8, 269.8
9, 275.5
10, 287.0
11, 321.0
12, 339.1
1, 1015.7
2, 517.9
3, 357.0
4, 274.5
5, 281.9
6, 281.0
7, 276.9
8, 279.0
9, 317.7
10, 283.9
11, 312.7
12, 314.0
